algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Modified,30,20,80.16619277936113,0.0011100000701844692,3,improvement_pct=0.8207,small_rich,3,instance_003.json
GA_Original,30,20,79.27554741545747,5.000000400003046,7865,,small_rich,3,instance_003.json
GA_Modified,30,20,76.33216797128838,5.000047800131142,6074,improvement_pct=5.5641,small_rich,3,instance_003.json
MMR_Original,30,20,76.33006104313144,0.0003059001173824072,30,,small_rich,4,instance_004.json
MMR_Modified,30,20,72.01919995493421,0.0011551000643521547,4,improvement_pct=5.6477,small_rich,4,instance_004.json
GA_Original,30,20,73.37551505863814,5.000294500030577,7883,,small_rich,4,instance_004.json
GA_Modified,30,20,71.97476650127678,5.000151199987158,6045,improvement_pct=5.7059,small_rich,4,instance_004.json
MMR_Original,30,20,66.0084269145148,0.0004289001226425171,30,,small_rich,5,instance_005.json
MMR_Modified,30,20,64.09142971044494,0.000972700072452426,4,improvement_pct=2.9042,small_rich,5,instance_005.json
GA_Original,30,20,62.73126204928397,5.000162999844179,7875,,small_rich,5,instance_005.json
GA_Modified,30,20,65.74452713654537,5.000574399949983,6023,improvement_pct=0.3998,small_rich,5,instance_005.json
MMR_Original,30,20,82.01060802837301,0.00030429987236857414,30,,small_rich,6,instance_006.json
MMR_Modified,30,20,75.50219058264194,0.0010538999922573566,4,improvement_pct=7.9361,small_rich,6,instance_006.json
GA_Original,30,20,74.19105483859529,5.0002956001553684,7786,,small_rich,6,instance_006.json
GA_Modified,30,20,78.36690538374498,5.000454599969089,6001,improvement_pct=4.4430,small_rich,6,instance_006.json
MMR_Original,30,20,58.868040742155884,0.0003448999486863613,30,,small_rich,7,instance_007.json
MMR_Modified,30,20,57.15149546149289,0.001478099962696433,4,improvement_pct=2.9159,small_rich,7,instance_007.json
GA_Original,30,20,60.243066609410036,5.000307800015435,7866,,small_rich,7,instance_007.json
GA_Modified,30,20,56.48956981702463,5.000648699933663,6060,improvement_pct=4.0403,small_rich,7,instance_007.json
MMR_Original,30,20,72.11529912053862,0.0003030998632311821,30,,small_rich,8,instance_008.json
MMR_Modified,30,20,71.53201483382625,0.001146299997344613,4,improvement_pct=0.8088,small_rich,8,instance_008.json
GA_Original,30,20,71.03219959372299,5.000462299911305,7876,,small_rich,8,instance_008.json
GA_Modified,30,20,69.32782230628908,5.000370499910787,6053,improvement_pct=3.8653,small_rich,8,instance_008.json
MMR_Original,30,20,65.41340822257834,0.00030519999563694,30,,small_rich,9,instance_009.json
MMR_Modified,30,20,62.656843485600355,0.0009105999488383532,4,improvement_pct=4.2141,small_rich,9,instance_009.json
GA_Original,30,20,60.955118208858906,5.000345600070432,7867,,small_rich,9,instance_009.json
GA_Modified,30,20,61.04587130364215,5.0000573000870645,6058,improvement_pct=6.6768,small_rich,9,instance_009.json
MMR_Original,30,20,73.21831434446342,0.0003003999590873718,30,,small_rich,10,instance_010.json
MMR_Modified,30,20,73.17229440196228,0.0010822999756783247,3,improvement_pct=0.0629,small_rich,10,instance_010.json
GA_Original,30,20,65.76932944887166,5.000132099958137,7860,,small_rich,10,instance_010.json
GA_Modified,30,20,67.07421245599024,5.000301199965179,6051,improvement_pct=8.3915,small_rich,10,instance_010.json
MMR_Original,30,20,79.74726281710652,0.00032219989225268364,30,,small_rich,11,instance_011.json
MMR_Modified,30,20,79.421656703161,0.0011360000353306532,3,improvement_pct=0.4083,small_rich,11,instance_011.json
GA_Original,30,20,79.53787936758151,5.000145500060171,7889,,small_rich,11,instance_011.json
GA_Modified,30,20,78.52765214101909,5.000273199984804,6066,improvement_pct=1.5293,small_rich,11,instance_011.json
MMR_Original,30,20,67.3258860001139,0.00032350001856684685,30,,small_rich,12,instance_012.json
MMR_Modified,30,20,63.82646097061177,0.0013005000073462725,4,improvement_pct=5.1977,small_rich,12,instance_012.json
GA_Original,30,20,64.48773755912123,5.0002619998995215,7856,,small_rich,12,instance_012.json
GA_Modified,30,20,66.97269246146463,5.000109900021926,6039,improvement_pct=0.5246,small_rich,12,instance_012.json
MMR_Original,30,20,83.18088935348963,0.0003024998586624861,30,,small_rich,13,instance_013.json
MMR_Modified,30,20,78.86471695588737,0.0012397998943924904,5,improvement_pct=5.1889,small_rich,13,instance_013.json
GA_Original,30,20,73.8529415672159,5.0005727000534534,7887,,small_rich,13,instance_013.json
GA_Modified,30,20,74.9025997481045,5.000387900043279,6085,improvement_pct=9.9522,small_rich,13,instance_013.json
MMR_Original,30,20,59.70002706566096,0.000309299910441041,30,,small_rich,14,instance_014.json
MMR_Modified,30,20,56.775934366552924,0.0014864001423120499,4,improvement_pct=4.8980,small_rich,14,instance_014.json
GA_Original,30,20,61.22122476743361,5.000365399988368,7889,,small_rich,14,instance_014.json
GA_Modified,30,20,58.91145791344994,5.000557400053367,6104,improvement_pct=1.3209,small_rich,14,instance_014.json
MMR_Original,30,20,78.41171688000836,0.00030710012651979923,30,,small_rich,15,instance_015.json
MMR_Modified,30,20,75.6933316646415,0.0009691000450402498,4,improvement_pct=3.4668,small_rich,15,instance_015.json
GA_Original,30,20,72.87463657631216,5.000600199913606,7892,,small_rich,15,instance_015.json
GA_Modified,30,20,76.0590804085529,5.000266099814326,6079,improvement_pct=3.0004,small_rich,15,instance_015.json
MMR_Original,30,20,68.2770881038922,0.0003100999165326357,30,,small_rich,16,instance_016.json
MMR_Modified,30,20,67.10249109307054,0.0012207000982016325,4,improvement_pct=1.7203,small_rich,16,instance_016.json
GA_Original,30,20,64.35202471812406,5.000611299881712,7876,,small_rich,16,instance_016.json
GA_Modified,30,20,62.89873368153035,5.000393599970266,6066,improvement_pct=7.8772,small_rich,16,instance_016.json
MMR_Original,30,20,67.2885843129758,0.0003261999227106571,30,,small_rich,17,instance_017.json
MMR_Modified,30,20,62.30937597741992,0.0013355999253690243,5,improvement_pct=7.3998,small_rich,17,instance_017.json
GA_Original,30,20,65.52972756064312,5.000062099890783,7848,,small_rich,17,instance_017.json
GA_Modified,30,20,60.18434128277252,5.000167600112036,6099,improvement_pct=10.5579,small_rich,17,instance_017.json
MMR_Original,30,20,67.70851651770136,0.0003030998632311821,30,,small_rich,18,instance_018.json
MMR_Modified,30,20,64.13122891923078,0.0014464000705629587,5,improvement_pct=5.2834,small_rich,18,instance_018.json
GA_Original,30,20,62.49569700367123,5.000568100018427,7841,,small_rich,18,instance_018.json
GA_Modified,30,20,64.32457938269239,5.000353200128302,6052,improvement_pct=4.9978,small_rich,18,instance_018.json
MMR_Original,30,20,77.6333593073834,0.00040469993837177753,30,,small_rich,19,instance_019.json
MMR_Modified,30,20,77.6333593073834,0.0010716000106185675,2,improvement_pct=0.0000,small_rich,19,instance_019.json
GA_Original,30,20,82.90918535166385,5.0001646999735385,7867,,small_rich,19,instance_019.json
GA_Modified,30,20,77.6333593073834,5.000299599952996,6078,improvement_pct=0.0000,small_rich,19,instance_019.json
MMR_Original,30,20,82.52344994251203,0.0003116999287158251,30,,small_rich,20,instance_020.json
MMR_Modified,30,20,81.38588966138352,0.0011497000232338905,4,improvement_pct=1.3785,small_rich,20,instance_020.json
GA_Original,30,20,80.38078800021454,5.000008499948308,7845,,small_rich,20,instance_020.json
GA_Modified,30,20,81.38588966138352,5.000286699971184,6059,improvement_pct=1.3785,small_rich,20,instance_020.json
MMR_Original,100,100,636.5481997743262,0.014809699961915612,100,,medium_balanced,1,instance_001.json
MMR_Modified,100,100,633.547278705815,0.03249130002222955,4,improvement_pct=0.4714,medium_balanced,1,instance_001.json
GA_Original,100,100,942.9719729733156,20.000367200002074,3948,,medium_balanced,1,instance_001.json
GA_Modified,100,100,636.5481997743262,20.004648099886253,4084,improvement_pct=0.0000,medium_balanced,1,instance_001.json
MMR_Original,100,100,607.259035800912,0.01449030009098351,100,,medium_balanced,2,instance_002.json
MMR_Modified,100,100,604.5839242301909,0.031681399792432785,4,improvement_pct=0.4405,medium_balanced,2,instance_002.json
GA_Original,100,100,833.4396710347096,20.003557299962267,3954,,medium_balanced,2,instance_002.json
GA_Modified,100,100,607.259035800912,20.00375930010341,4086,improvement_pct=0.0000,medium_balanced,2,instance_002.json
MMR_Original,100,100,666.1472354173801,0.014668300049379468,100,,medium_balanced,3,instance_003.json
MMR_Modified,100,100,660.8836707477902,0.031110299983993173,4,improvement_pct=0.7902,medium_balanced,3,instance_003.json
GA_Original,100,100,943.854979936204,20.0039003000129,3945,,medium_balanced,3,instance_003.json
